run_id,model_key,strategy,group,group_col,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_micro,invalid_rate
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(10.0, 16.667]",question_words_bin,9,0.2222222222222222,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.08888888888888889,0.2222222222222222,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(16.667, 76.0]",question_words_bin,10,0.3,0.125,0.25,0.16666666666666666,0.2,0.3,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(2.999, 10.0]",question_words_bin,11,0.45454545454545453,0.4666666666666666,0.4444444444444444,0.35714285714285715,0.34415584415584416,0.45454545454545453,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(305.0, 1220.0]",answer_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(5.999, 65.667]",answer_words_bin,10,0.3,0.2619047619047619,0.39999999999999997,0.24338624338624337,0.23174603174603173,0.3,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(65.667, 305.0]",answer_words_bin,10,0.2,0.07407407407407407,0.2222222222222222,0.1111111111111111,0.1,0.2,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(321.667, 1246.0]",combined_words_bin,10,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.5,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(75.0, 321.667]",combined_words_bin,10,0.2,0.07407407407407407,0.2222222222222222,0.1111111111111111,0.1,0.2,0.0
qwen-0.8b_zero-shot,qwen-0.8b,zero-shot,"(9.999, 75.0]",combined_words_bin,10,0.3,0.2619047619047619,0.39999999999999997,0.24338624338624337,0.23174603174603173,0.3,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(10.0, 16.667]",question_words_bin,9,0.4444444444444444,0.31666666666666665,0.3666666666666667,0.31746031746031744,0.4338624338624338,0.4444444444444444,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(16.667, 76.0]",question_words_bin,10,0.2,0.17777777777777778,0.25,0.19047619047619047,0.17142857142857143,0.2,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(2.999, 10.0]",question_words_bin,11,0.36363636363636365,0.27777777777777773,0.38888888888888884,0.3238095238095238,0.3012987012987013,0.36363636363636365,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(305.0, 1220.0]",answer_words_bin,10,0.3,0.2222222222222222,0.4666666666666666,0.24338624338624337,0.2507936507936508,0.3,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(5.999, 65.667]",answer_words_bin,10,0.4,0.26666666666666666,0.3666666666666667,0.29523809523809524,0.3571428571428571,0.4,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(65.667, 305.0]",answer_words_bin,10,0.3,0.39999999999999997,0.27777777777777773,0.3055555555555555,0.3416666666666667,0.3,0.0
qwen-0.8b_few-shot,qwen-0.8b,few-shot,"(321.667, 1246.0]",combined_words_bin,10,0.3,0.2222222222222222,0.4666666666666666,0.24338624338624337,0.2507936507936508,0.3,0.0
